,Squad,League
0,Leicester City,Premier League
1,Arsenal,Premier League
2,Tottenham Hotspur,Premier League
3,Manchester City,Premier League
4,Manchester Utd,Premier League
5,Southampton,Premier League
6,West Ham United,Premier League
7,Liverpool,Premier League
8,Stoke City,Premier League
9,Chelsea,Premier League
10,Everton,Premier League
11,Swansea City,Premier League
12,Watford,Premier League
13,West Brom,Premier League
14,Crystal Palace,Premier League
15,Bournemouth,Premier League
16,Sunderland,Premier League
17,Newcastle United,Premier League
18,Norwich City,Premier League
19,Aston Villa,Premier League
35,Burnley,Premier League
37,Hull City,Premier League
38,Middlesbrough,Premier League
54,Brighton,Premier League
55,Huddersfield Town,Premier League
66,Wolves,Premier League
77,Cardiff City,Premier League
78,Fulham,Premier League
88,Sheffield United,Premier League
108,Leeds United,Premier League
132,Brentford,Premier League
155,Nottingham Forest,Premier League
177,Luton Town,Premier League
198,Ipswich Town,Premier League
200,Barcelona,La Liga
201,Real Madrid,La Liga
202,Atlético Madrid,La Liga
203,Villarreal,La Liga
204,Athletic Club,La Liga
205,Celta Vigo,La Liga
206,Sevilla,La Liga
207,Málaga,La Liga
208,Real Sociedad,La Liga
209,Real Betis,La Liga
210,Las Palmas,La Liga
211,Valencia,La Liga
212,Espanyol,La Liga
213,Eibar,La Liga
214,Dep La Coruña,La Liga
215,Granada,La Liga
216,Sporting Gijón,La Liga
217,Rayo Vallecano,La Liga
218,Getafe,La Liga
219,Levante,La Liga
228,Alavés,La Liga
236,Leganés,La Liga
238,Osasuna,La Liga
249,Girona,La Liga
275,Valladolid,La Liga
278,Huesca,La Liga
298,Mallorca,La Liga
311,Cádiz,La Liga
316,Elche,La Liga
356,Almería,La Liga
400,Juventus,Serie A
401,Napoli,Serie A
402,Roma,Serie A
403,Inter,Serie A
404,Fiorentina,Serie A
405,Sassuolo,Serie A
406,Milan,Serie A
407,Lazio,Serie A
408,Chievo,Serie A
409,Empoli,Serie A
410,Genoa,Serie A
411,Torino,Serie A
412,Atalanta,Serie A
413,Bologna,Serie A
414,Sampdoria,Serie A
415,Palermo,Serie A
416,Udinese,Serie A
417,Carpi,Serie A
418,Frosinone,Serie A
419,Hellas Verona,Serie A
430,Cagliari,Serie A
436,Crotone,Serie A
439,Pescara,Serie A
456,SPAL,Serie A
459,Benevento,Serie A
473,Parma,Serie A
497,Lecce,Serie A
498,Brescia,Serie A
514,Spezia,Serie A
536,Salernitana,Serie A
539,Venezia,Serie A
550,Monza,Serie A
558,Cremonese,Serie A
589,Como,Serie A
600,Bayern Munich,Bundesliga
601,Dortmund,Bundesliga
602,Leverkusen,Bundesliga
603,Gladbach,Bundesliga
604,Schalke 04,Bundesliga
605,Mainz 05,Bundesliga
606,Hertha BSC,Bundesliga
607,Wolfsburg,Bundesliga
608,Köln,Bundesliga
609,Hamburger SV,Bundesliga
610,Ingolstadt,Bundesliga
611,Augsburg,Bundesliga
612,Werder Bremen,Bundesliga
613,Darmstadt 98,Bundesliga
614,Hoffenheim,Bundesliga
615,Eintracht Frankfurt,Bundesliga
616,Stuttgart,Bundesliga
617,Hannover 96,Bundesliga
619,RB Leipzig,Bundesliga
624,Freiburg,Bundesliga
663,Düsseldorf,Bundesliga
671,Nürnberg,Bundesliga
682,Union Berlin,Bundesliga
689,Paderborn 07,Bundesliga
704,Arminia,Bundesliga
720,Bochum,Bundesliga
725,Greuther Fürth,Bundesliga
751,Heidenheim,Bundesliga
775,St Pauli,Bundesliga
778,Holstein Kiel,Bundesliga
780,Paris Saint-Germain,Ligue 1
781,Lyon,Ligue 1
782,Monaco,Ligue 1
783,Nice,Ligue 1
784,Lille,Ligue 1
785,Saint-Étienne,Ligue 1
786,Caen,Ligue 1
787,Rennes,Ligue 1
788,Angers,Ligue 1
789,Bastia,Ligue 1
790,Bordeaux,Ligue 1
791,Montpellier,Ligue 1
792,Marseille,Ligue 1
793,Nantes,Ligue 1
794,Lorient,Ligue 1
795,Guingamp,Ligue 1
796,Toulouse,Ligue 1
797,Reims,Ligue 1
798,Gazélec Ajaccio,Ligue 1
799,Troyes,Ligue 1
813,Metz,Ligue 1
815,Dijon,Ligue 1
818,Nancy,Ligue 1
832,Amiens,Ligue 1
834,Strasbourg,Ligue 1
848,Nîmes,Ligue 1
873,Brest,Ligue 1
886,Lens,Ligue 1
916,Clermont Foot,Ligue 1
936,Auxerre,Ligue 1
937,Ajaccio,Ligue 1
954,Le Havre,Ligue 1
