,Nation_codes,Nation
0,GER,Germany
1,FRA,France
4,CHI,Chile
5,ESP,Spain
9,POL,Poland
11,BRA,Brazil
12,NED,Netherlands
14,AUT,Austria
18,SUI,Switzerland
20,MAR,Morocco
22,SRB,Serbia
29,GAB,Gabon
30,ARM,Armenia
34,POR,Portugal
35,JPN,Japan
36,ARG,Argentina
43,BIH,Bosnia
46,HUN,Hungary
51,TUR,Turkey
62,COL,Colombia
66,GUI,Guinea
69,CRO,Croatia
72,SVN,Slovenia
80,RUS,Russia
85,CIV,Cote
86,SEN,Senegal
89,DEN,Denmark
91,ITA,Italy
93,SWE,Sweden
96,USA,United
99,PER,Peru
108,GRE,Greece
111,CZE,Czech
123,LVA,Latvia
127,BEL,Belgium
135,CMR,Cameroon
143,NGA,Nigeria
149,MEX,Mexico
158,TUN,Tunisia
163,KOR,Korea
166,ROU,Romania
168,NOR,Norway
170,PAR,Paraguay
172,COD,Congo
190,AUS,Australia
201,UKR,Ukraine
208,SVK,Slovakia
215,IRQ,Iraq
228,EST,Estonia
252,CUW,Curacao
261,MLI,Mali
284,FIN,Finland
329,GHA,Ghana
331,ISR,Israel
380,KVX,Kosovo
400,KAZ,Kazakhstan
430,AZE,Azerbaijan
441,GAM,Gambia
445,Unknown,Unknown
463,LIB,Lebanon
479,UGA,Uganda
504,WAL,Wales
505,URU,Uruguay
547,CRC,Costa
560,ECU,Ecuador
573,ALG,Algeria
627,GLP,Guadeloupe
660,MNE,Montenegro
704,VEN,Venezuela
736,MTQ,Martinique
753,ANG,Angola
760,LTU,Lithuania
805,MOZ,Mozambique
898,EQG,Equatorial
907,BLR,Belarus
908,MKD,North
923,CTA,Central
1027,ZAM,Zambia
1030,SCO,Scotland
1040,CGO,Congo
1065,MAD,Madagascar
1079,BFA,Burkina
1091,TOG,Togo
1103,GEO,Georgia
1142,COM,Comoros
1165,ALB,Albania
1167,RSA,South
1169,MRI,Mauritius
1176,GUF,French
1202,BEN,Benin
1225,NCL,New
1233,HAI,Haiti
1284,GNB,Guinea
1291,BDI,Burundi
1321,CPV,Cape
1376,CHA,Chad
1559,EGY,Egypt
1633,ENG,England
1677,JAM,Jamaica
1733,QAT,Qatar
1855,BUL,Bulgaria
1886,MDA,Moldova
1934,LIE,Liechtenstein
2051,BOL,Bolivia
2163,IDN,Indonesia
2266,NZL,New
2301,IRL,Republic
2309,NIR,Northern
2352,SLE,Sierra
2426,KEN,Kenya
2528,CYP,Cyprus
2595,CAN,Canada
2602,ZIM,Zimbabwe
2665,CHN,China
2714,BER,Bermuda
2774,PAK,Pakistan
2918,SUR,Suriname
3141,ISL,Iceland
3516,IRN,Iran
3590,PHI,Philippines
4194,MLT,Malta
4209,LUX,Luxembourg
4917,ATG,Antigua
5312,LBY,Libya
5418,SMR,San
5548,HON,Honduras
5790,KSA,Saudi
6011,DOM,Dominican
6029,MTN,Mauritania
7591,BAN,Bangladesh
7684,GUY,Guyana
8151,PRK,Korea
9640,TRI,Trinidad
9855,NIG,Niger
9956,SMN,Saint
10551,GUA,Guatemala
13479,TAN,Tanzania
13690,CUB,Cuba
14700,FRO,Faroe
16516,SKN,Saint
17660,PAN,Panama
17976,UZB,Uzbekistan
19480,GRN,Grenada
21659,MSR,Montserrat
24489,MAS,Malaysia
24516,AND,Andorra
