League_id,League_name,Country,Season_year
BL1,Bundesliga,Germany,2016
BL1,Bundesliga,Germany,2017
BL1,Bundesliga,Germany,2018
BL1,Bundesliga,Germany,2019
BL1,Bundesliga,Germany,2020
BL1,Bundesliga,Germany,2021
BL1,Bundesliga,Germany,2022
BL1,Bundesliga,Germany,2023
BL1,Bundesliga,Germany,2024
BL1,Bundesliga,Germany,2025
LL,La Liga,Spain,2016
LL,La Liga,Spain,2017
LL,La Liga,Spain,2018
LL,La Liga,Spain,2019
LL,La Liga,Spain,2020
LL,La Liga,Spain,2021
LL,La Liga,Spain,2022
LL,La Liga,Spain,2023
LL,La Liga,Spain,2024
LL,La Liga,Spain,2025
FL1,Ligue 1,France,2016
FL1,Ligue 1,France,2017
FL1,Ligue 1,France,2018
FL1,Ligue 1,France,2019
FL1,Ligue 1,France,2020
FL1,Ligue 1,France,2021
FL1,Ligue 1,France,2022
FL1,Ligue 1,France,2023
FL1,Ligue 1,France,2024
FL1,Ligue 1,France,2025
PL,Premier League,England,2016
PL,Premier League,England,2017
PL,Premier League,England,2018
PL,Premier League,England,2019
PL,Premier League,England,2020
PL,Premier League,England,2021
PL,Premier League,England,2022
PL,Premier League,England,2023
PL,Premier League,England,2024
PL,Premier League,England,2025
SA,Serie A,Italy,2016
SA,Serie A,Italy,2017
SA,Serie A,Italy,2018
SA,Serie A,Italy,2019
SA,Serie A,Italy,2020
SA,Serie A,Italy,2021
SA,Serie A,Italy,2022
SA,Serie A,Italy,2023
SA,Serie A,Italy,2024
SA,Serie A,Italy,2025
