Squad,League
Leicester City,Premier League
Arsenal,Premier League
Tottenham Hotspur,Premier League
Manchester City,Premier League
Manchester Utd,Premier League
Southampton,Premier League
West Ham United,Premier League
Liverpool,Premier League
Stoke City,Premier League
Chelsea,Premier League
Everton,Premier League
Swansea City,Premier League
Watford,Premier League
West Brom,Premier League
Crystal Palace,Premier League
Bournemouth,Premier League
Sunderland,Premier League
Newcastle United,Premier League
Norwich City,Premier League
Aston Villa,Premier League
Burnley,Premier League
Hull City,Premier League
Middlesbrough,Premier League
Brighton,Premier League
Huddersfield Town,Premier League
Wolves,Premier League
Cardiff City,Premier League
Fulham,Premier League
Sheffield United,Premier League
Leeds United,Premier League
Brentford,Premier League
Nottingham Forest,Premier League
Luton Town,Premier League
Ipswich Town,Premier League
Barcelona,La Liga
Real Madrid,La Liga
Atlético Madrid,La Liga
Villarreal,La Liga
Athletic Club,La Liga
Celta Vigo,La Liga
Sevilla,La Liga
Málaga,La Liga
Real Sociedad,La Liga
Real Betis,La Liga
Las Palmas,La Liga
Valencia,La Liga
Espanyol,La Liga
Eibar,La Liga
Dep La Coruña,La Liga
Granada,La Liga
Sporting Gijón,La Liga
Rayo Vallecano,La Liga
Getafe,La Liga
Levante,La Liga
Alavés,La Liga
Leganés,La Liga
Osasuna,La Liga
Girona,La Liga
Valladolid,La Liga
Huesca,La Liga
Mallorca,La Liga
Cádiz,La Liga
Elche,La Liga
Almería,La Liga
Juventus,Serie A
Napoli,Serie A
Roma,Serie A
Inter,Serie A
Fiorentina,Serie A
Sassuolo,Serie A
Milan,Serie A
Lazio,Serie A
Chievo,Serie A
Empoli,Serie A
Genoa,Serie A
Torino,Serie A
Atalanta,Serie A
Bologna,Serie A
Sampdoria,Serie A
Palermo,Serie A
Udinese,Serie A
Carpi,Serie A
Frosinone,Serie A
Hellas Verona,Serie A
Cagliari,Serie A
Crotone,Serie A
Pescara,Serie A
SPAL,Serie A
Benevento,Serie A
Parma,Serie A
Lecce,Serie A
Brescia,Serie A
Spezia,Serie A
Salernitana,Serie A
Venezia,Serie A
Monza,Serie A
Cremonese,Serie A
Como,Serie A
Bayern Munich,Bundesliga
Dortmund,Bundesliga
Leverkusen,Bundesliga
Gladbach,Bundesliga
Schalke 04,Bundesliga
Mainz 05,Bundesliga
Hertha BSC,Bundesliga
Wolfsburg,Bundesliga
Köln,Bundesliga
Hamburger SV,Bundesliga
Ingolstadt,Bundesliga
Augsburg,Bundesliga
Werder Bremen,Bundesliga
Darmstadt 98,Bundesliga
Hoffenheim,Bundesliga
Eintracht Frankfurt,Bundesliga
Stuttgart,Bundesliga
Hannover 96,Bundesliga
RB Leipzig,Bundesliga
Freiburg,Bundesliga
Düsseldorf,Bundesliga
Nürnberg,Bundesliga
Union Berlin,Bundesliga
Paderborn 07,Bundesliga
Arminia,Bundesliga
Bochum,Bundesliga
Greuther Fürth,Bundesliga
Heidenheim,Bundesliga
St Pauli,Bundesliga
Holstein Kiel,Bundesliga
Paris Saint-Germain,Ligue 1
Lyon,Ligue 1
Monaco,Ligue 1
Nice,Ligue 1
Lille,Ligue 1
Saint-Étienne,Ligue 1
Caen,Ligue 1
Rennes,Ligue 1
Angers,Ligue 1
Bastia,Ligue 1
Bordeaux,Ligue 1
Montpellier,Ligue 1
Marseille,Ligue 1
Nantes,Ligue 1
Lorient,Ligue 1
Guingamp,Ligue 1
Toulouse,Ligue 1
Reims,Ligue 1
Gazélec Ajaccio,Ligue 1
Troyes,Ligue 1
Metz,Ligue 1
Dijon,Ligue 1
Nancy,Ligue 1
Amiens,Ligue 1
Strasbourg,Ligue 1
Nîmes,Ligue 1
Brest,Ligue 1
Lens,Ligue 1
Clermont Foot,Ligue 1
Auxerre,Ligue 1
Ajaccio,Ligue 1
Le Havre,Ligue 1
